S. No.,tracking_id,cluster,lat,lng
5000,UID1000191582,5,12.9937675,77.523759
5001,UID1000191585,5,12.9891,77.5456
5002,UID1000191590,5,12.9873,77.5525
5003,UID1000191670,5,12.9877385,77.5501456
5004,UID1000191671,5,12.9966,77.5426
5005,UID1000192343,5,12.9894103,77.5486824
5006,UID1000192345,5,12.9892,77.5309
5007,UID1000192346,5,12.9892,77.5309
5008,UID1000192347,5,12.9892,77.531
5009,UID1000192348,5,12.9892,77.5309
5010,UID1000192349,5,12.9889,77.5426
5011,UID1000192353,5,12.9936,77.5252
5012,UID1000192357,5,13.0105,77.5404
5013,UID1000192360,5,12.989,77.5628
5014,UID1000192363,5,13.0122,77.5467
5015,UID1000192365,5,13.0138,77.5466
5016,UID1000192366,5,13.0146,77.546
5017,UID1000192367,5,13.0145,77.5459
5018,UID1000192381,5,12.9905,77.5349
5019,UID1000192382,5,12.99,77.5384
5020,UID1000192383,5,12.9895,77.5392
5021,UID1000192384,5,12.9888,77.5429
5022,UID1000192385,5,12.9891,77.5464
5023,UID1000192386,5,12.9876,77.5522
5024,UID1000192394,5,12.9893,77.531
5025,UID1000192406,5,12.9867,77.5274
5026,UID1000192416,5,12.9985,77.5634
5027,UID1000192479,5,12.9858,77.5564
5028,UID1000192480,5,12.9846,77.5596
5029,UID1000192481,5,12.9885,77.5567
5030,UID1000192482,5,12.9881,77.5582
5031,UID1000192483,5,12.9919,77.5599
5032,UID1000192484,5,12.9918555,77.5598852
5033,UID1000192485,5,12.9952776,77.5601682
5034,UID1000192487,5,12.994,77.5598
5035,UID1000192542,5,13.0007,77.5262
5036,UID1000192838,5,12.9906,77.5638
5037,UID1000192855,5,13.0313,77.56
5038,UID1000192887,5,13.0006,77.5446
5039,UID1000192888,5,13.0124,77.5441
5040,UID1000192889,5,13.0177,77.541
5041,UID1000192890,5,13.0174458,77.5409935
5042,UID1000192972,5,12.9959,77.5462
5043,UID1000192973,5,12.9873,77.5471
5044,UID1000193092,5,13.0311,77.5611
5045,UID1000193754,5,13.0099,77.5395
5046,UID1000193990,5,13.0043,77.54
5047,UID1000194206,5,13.0219128,77.5591181
5048,UID1000194445,5,13.0001,77.5696
5049,UID1000194446,5,13.003,77.5694
5050,UID1000194562,5,12.9889,77.5495
5051,UID1000194563,5,12.9898,77.5486
5052,UID1000194726,5,12.9959,77.5245
5053,UID1000194803,5,12.9922,77.5366
5054,UID1000194804,5,12.9927,77.5301
5055,UID1000194805,5,12.9919,77.5366
5056,UID1000194806,5,12.9919,77.5362
5057,UID1000194809,5,12.9956,77.526
5058,UID1000194900,5,12.9957,77.5263
5059,UID1000194902,5,12.9952,77.5266
5060,UID1000194940,5,12.9859843,77.5470698
5061,UID1000195123,5,13.0347,77.561
5062,UID1000195287,5,12.9975,77.5288
5063,UID1000195300,5,12.9959,77.5296
5064,UID1000195306,5,12.9956,77.5256
5065,UID1000195311,5,12.9957,77.5265
5066,UID1000195314,5,12.9948,77.5276
5067,UID1000195318,5,13.0118,77.5442
5068,UID1000195319,5,13.0003,77.5444
5069,UID1000195685,5,13.0041,77.5359
5070,UID1000195686,5,13.0052,77.5368
5071,UID1000195687,5,13.0052,77.5372
5072,UID1000195688,5,13.0049,77.5374
5073,UID1000195689,5,13.0045,77.5369
5074,UID1000195690,5,13.0034,77.5361
5075,UID1000195691,5,13.0033,77.5364
5076,UID1000195692,5,13.0062,77.5371
5077,UID1000195693,5,13.0064,77.5369
5078,UID1000195694,5,13.0077,77.5351
5079,UID1000195697,5,12.9955,77.5265
5080,UID1000195705,5,12.9992,77.5224
5081,UID1000195712,5,12.9963,77.5267
5082,UID1000195715,5,13.0201,77.5607
5083,UID1000195716,5,13.0211,77.5603
5084,UID1000195717,5,13.0211,77.5613
5085,UID1000195718,5,13.0216,77.5615
5086,UID1000195719,5,13.0217,77.5618
5087,UID1000195720,5,13.0218,77.5602
5088,UID1000195721,5,13.023,77.5604
5089,UID1000195722,5,13.0212,77.5578
5090,UID1000195723,5,13.0211,77.5562
5091,UID1000195724,5,13.0225,77.5586
5092,UID1000195907,5,12.9873,77.5653
5093,UID1000195938,5,12.9958,77.5282
5094,UID1000195940,5,12.9956,77.5263
5095,UID1000195957,5,12.9951,77.5372
5096,UID1000195958,5,12.9925,77.5349
5097,UID1000195960,5,12.9973,77.5301
5098,UID1000195962,5,12.9966,77.5345
5099,UID1000195992,5,12.994,77.5458
5100,UID1000195994,5,12.9963,77.5472
